Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),price_per_sqft,distance_to_cbd_km,amenity_score,total_rooms,room_density,bathroom_bedroom_ratio,is_luxury,property_category
Nairobi,Bungalow,3,3,152.0,"SQ, Gate",9750000.0,64144.74,0.0,1.0,6,0.0395,1.0,0,House
Valley Arcade,Apartment,4,4,251.0,SQ,27000000.0,107569.72,3.71,0.5,8,0.0319,1.0,0,Apartment
Nairobi,Bungalow,3,3,150.0,SQ,9750000.0,65000.0,0.0,0.5,6,0.04,1.0,0,House
Kileleshwa,Apartment,4,4,270.0,SQ,24500000.0,90740.74,3.33,0.5,8,0.0296,1.0,0,Apartment
South B,Apartment,2,3,200.0,"Security, SQ",7000000.0,35000.0,3.1,1.5,5,0.025,1.5,0,Apartment
Kitisuru,Apartment,2,2,113.0,SQ,12500000.0,110619.47,6.42,0.5,4,0.0354,1.0,0,Apartment
Imara Daima,Maisonette,4,3,200.0,SQ,16000000.0,80000.0,8.83,0.5,7,0.035,0.75,0,House
Kileleshwa,Apartment,4,4,270.0,SQ,25800000.0,95555.56,3.33,0.5,8,0.0296,1.0,0,Apartment
Kilimani,House,2,2,120.0,"SQ, Gate",14500000.0,120833.33,3.85,1.0,4,0.0333,1.0,0,House
Upper Hill,Apartment,3,3,174.0,SQ,19800000.0,113793.1,0.42,0.5,6,0.0345,1.0,0,Apartment
Hurlingham,Studio,1,2,43.0,SQ,5200000.0,120930.23,4.38,0.5,3,0.0698,2.0,0,Apartment
Westlands,Land,4,3,160.0,SQ,33650000.0,210312.5,2.93,0.5,7,0.0438,0.75,0,Other
Kileleshwa,Studio,1,1,48.0,SQ,4500000.0,93750.0,3.33,0.5,2,0.0417,1.0,0,Apartment
South C,Apartment,2,2,152.0,"En Suite, Fibre, SQ",12500000.0,82236.84,3.4,1.5,4,0.0263,1.0,0,Apartment
Westlands,Land,1,1,52.0,"SQ, Gate",5500000.0,105769.23,2.93,1.0,2,0.0385,1.0,0,Other
Westlands,Land,1,1,41.0,SQ,5800000.0,141463.41,2.93,0.5,2,0.0488,1.0,0,Other
Westlands,Land,1,1,59.0,SQ,7800000.0,132203.39,2.93,0.5,2,0.0339,1.0,0,Other
Westlands,Maisonette,4,4,300.0,SQ,34000000.0,113333.33,2.93,0.5,8,0.0267,1.0,0,House
Kabete,Land,1,1,33.0,SQ,3300000.0,100000.0,9.35,0.5,2,0.0606,1.0,0,Other
Kilimani,Apartment,3,3,260.0,"Lift, SQ",15500000.0,59615.38,3.85,2.0,6,0.0231,1.0,0,Apartment
Kileleshwa,Apartment,3,3,190.0,SQ,16500000.0,86842.11,3.33,0.5,6,0.0316,1.0,0,Apartment
Imara Daima,Maisonette,4,4,250.0,"Security, SQ, Gate",15000000.0,60000.0,8.83,2.0,8,0.032,1.0,0,House
