Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),Listing Date
Kilimani,Apartment,2,N/A,100,SQ,9500000,N/A
Kilimani,Apartment,2,N/A,70,SQ,7500000,N/A
Kilimani,Apartment,3,N/A,N/A,None,13500000,N/A
Kitisuru,Apartment,2,2,N/A,None,12000000,N/A
Kilimani,Studio,N/A,N/A,40,SQ,3500000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,3500000,N/A
Kilimani,Apartment,1,N/A,60,SQ,5500000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,5500000,N/A
Kitisuru,Apartment,3,3,N/A,None,15000000,N/A
Kilimani,Apartment,1,N/A,70,SQ,5800000,N/A
Kilimani,Apartment,2,N/A,107,SQ,8000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,8000000,N/A
Kilimani,Apartment,3,N/A,115,SQ,9800000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,9800000,N/A
Kilimani,Apartment,3,N/A,N/A,None,13000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,13000000,N/A
Kileleshwa,Apartment,3,N/A,N/A,None,10500000,N/A
Kitisuru,Apartment,1,1,N/A,None,5550000,N/A
Nairobi,Apartment,1,1,N/A,None,5550000,N/A
Kileleshwa,Apartment,3,N/A,N/A,None,14500000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,14500000,N/A
Kitisuru,Apartment,2,2,N/A,None,11000000,N/A
Lavington,House,5,N/A,N/A,None,75000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,75000000,N/A
Lavington,Apartment,3,N/A,N/A,None,25000000,N/A
Kilimani,Apartment,1,N/A,N/A,None,7000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,7000000,N/A
Lavington,Apartment,2,N/A,N/A,None,9000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,9000000,N/A
Lavington,Land,N/A,N/A,N/A,None,180000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,180000000,N/A
Ngong,House,4,N/A,N/A,None,20000000,N/A
Lavington,Apartment,3,N/A,N/A,None,17500000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,17500000,N/A
Kileleshwa,Apartment,3,N/A,N/A,None,16500000,N/A
Kilimani,Apartment,3,N/A,N/A,None,22000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,22000000,N/A
Kileleshwa,Apartment,2,N/A,N/A,None,15500000,N/A
Parklands,Land,4,N/A,N/A,None,43000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,43000000,N/A
Nairobi,House,4,N/A,N/A,None,80000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,80000000,N/A
Loresho,House,4,N/A,N/A,None,39000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,39000000,N/A
Kileleshwa,Apartment,3,N/A,140,SQ,13500000,N/A
Kileleshwa,Apartment,3,N/A,130,SQ,11000000,N/A
Kitisuru,Apartment,1,1,N/A,None,3600000,N/A
